parameter_name,NK cell number
pvalue,0.3537468
analysis_id,243f04joc123353
parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
