parameter_id,UCD_OWT_003_001
analysis_id,2v068nm9ck999m7
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
mouse_strain,C57BL
pvalue,0.9639313
parameter_name,Spleen weight
