parameter_name,center - resting time
pvalue,0.7451509
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_id,M-G-P_007_001_011
gene_symbol,WARS2
analysis_id,42oo7542637h5ad
