parameter_name,Limb morphology
gene_symbol,Pld1
analysis_id,4sm1b4dg5g4b5p6
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
pvalue,0.07036695
mouse_strain,C57BL
