analysis_id,6zu5wl3h99407jf
pvalue,0.9527445
gene_accession_id,MGI:99915
parameter_id,IMPC_FEA_107_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Lamb3
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
