gene_symbol,Trp53rkb
analysis_id,77h995x43t0dnu0
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
mouse_strain,C57BL
pvalue,0.8828547
