gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.5463732
mouse_strain,C57BL
gene_accession_id,MGI:1914071
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
analysis_id,984r8c4t1n51y9e
