analysis_id,fx42t5tfz0nn740
parameter_name,IgD+ mature B cell number
parameter_id,MGP_PBI_035_001
pvalue,0.9663521
mouse_strain,C57BL
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
mouse_life_stage,Early adult
