mouse_life_stage,E12.5
gene_accession_id,MGI:95835
analysis_id,h7896v2z5ojch8p
pvalue,0.3478325
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
