gene_symbol,Galk2
mouse_life_stage,Early adult
analysis_id,j217751214h38i8
pvalue,0.6957504
parameter_name,Fusion of vertebrae
mouse_strain,C57BL
gene_accession_id,MGI:1917226
parameter_id,M-G-P_006_001_026
