gene_symbol,Zmynd19
parameter_name,Skull shape
pvalue,0.3358839
analysis_id,j32uo72gh33a270
mouse_strain,C57BL
gene_accession_id,MGI:1914437
parameter_id,CCP_XRY_001_001
mouse_life_stage,Early adult
