parameter_id,IMPC_DXA_010_001
gene_symbol,Tbl1xr1
analysis_id,k6n01i1q366sgw8
mouse_strain,C57BL
parameter_name,Bone Area
mouse_life_stage,Late adult
pvalue,0.1973614
gene_accession_id,MGI:2441730
