parameter_name,Fractional Shortening
gene_symbol,Atrn
pvalue,0.062552
parameter_id,IMPC_ECH_005_001
gene_accession_id,MGI:1341628
analysis_id,p1zeqwuj13ae4sz
mouse_strain,C57BL
mouse_life_stage,Early adult
