parameter_name,Spleen weight
gene_symbol,Mgst2
analysis_id,qq579812x7a7f75
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.9991182
