analysis_id,ts9u61155m3m282
gene_symbol,Zmynd8
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1918025
parameter_name,Fusion of vertebrae
pvalue,0.2763873
