parameter_name,Placenta Size
gene_accession_id,MGI:1914309
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0
gene_symbol,Ola1
analysis_id,ubk3d0py56m5fc7
parameter_id,IMPC_GPP_004_001
