mouse_strain,C57BL
parameter_name,Eyelid morphology
analysis_id,v9533anm3ax3571
mouse_life_stage,Early adult
gene_symbol,Etfdh
pvalue,0.8819259
parameter_id,IMPC_EYE_004_001
gene_accession_id,MGI:106100
