parameter_name,Percent time in light
parameter_id,IMPC_LDT_008_001
analysis_id,z74735j54466216
gene_accession_id,MGI:1914256
pvalue,0.9088459
gene_symbol,Cisd2
mouse_life_stage,Early adult
mouse_strain,C57BL
