gene_symbol,Tox
parameter_name,Alpha beta T cell percentage
pvalue,0.7060966
gene_accession_id,MGI:2181659
parameter_id,MGP_PBI_002_001
mouse_strain,C55BL
analysis_id,z82wo0vp87g7187
mouse_life_stage,Early adult
